TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,3,9,3153,1,10,83,3
test2.txt,4,6,17003,1,8,459,17
test3.txt,13,40,75219,1,22,2020,77
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,2,7,206,0,8,105,0
test2.txt,8,8,286,0,7,353,0
test3.txt,13,44,1753,0,21,2013,3
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,13,15,156,0,12,126,0
test2.txt,5,9,157,2,12,540,0
test3.txt,18,107,503,2,12,2184,2
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,2,11,158,1,11,132,0
test2.txt,4,10,106,0,7,353,0
test3.txt,13,18,740,0,15,1993,2
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,15,0,109,0,0,172,0
test2.txt,0,15,124,0,0,672,0
test3.txt,13,11,187,0,15,4772,5
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,125,0,0,46,0
test2.txt,0,0,140,0,0,156,0
test3.txt,15,15,296,0,15,781,1
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,125,0,15,62,0
test2.txt,0,0,125,0,15,140,0
test3.txt,13,31,352,0,15,718,1
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,109,0,0,46,0
test2.txt,0,15,140,0,0,140,0
test3.txt,15,46,406,0,15,764,1
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,3,12,38649,0,0,93,38
test2.txt,0,15,109,0,15,359,0
test3.txt,0,15,281,0,15,1995,2
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,140,0,15,109,0
test2.txt,0,15,109,0,0,375,0
test3.txt,15,15,234,0,15,1966,2
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,15,0,16587,0,15,82,16
test2.txt,15,0,109,0,0,269,0
test3.txt,15,46,332,0,0,1361,1
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,0,32018,0,15,93,32
test2.txt,0,15,16882,0,15,265,17
test3.txt,12,36,312,15,15,1386,1
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,84648,0,15,93,84
test2.txt,0,0,109,0,0,246,0
test3.txt,15,46,348,0,15,1359,1
TEST#,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,3,11,37268,0,15,125,37
test2.txt,0,0,109,0,0,359,0
test3.txt,15,15,218,0,15,1976,2
