TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,15,156,0,0,0,0,0
test2.txt,0,0,140,0,0,0,0,0
test3.txt,15,0,181,3,0,0,0,0
test4.txt,139,7,375,0,0,0,0,0
test5.txt,593,31,2441,5,0,0,0,3
test6.txt,2904,62,8021,18,0,0,0,13
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,15,15,156,0,0,0,109,0
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,15,15,140,15,0,15,187,0
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,0,0,156,0,0,15,125,0
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,15,0,191,3,0,15,124,0
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,14,11,180,2,0,0,0,0
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,15,0,187,0,0,0,0,0
test2.txt,31,15,156,0,0,0,0,0
test3.txt,93,15,249,0,0,0,0,0
test4.txt,484,15,773,0,0,0,0,1
test5.txt,2426,17,4289,3,0,0,0,9
test6.txt,11905,64,17169,33,0,0,0,41
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,15,15,156,0,0,0,0,0
test2.txt,15,0,140,0,0,0,0,0
test3.txt,31,15,171,0,0,0,0,0
test4.txt,125,15,359,0,0,0,0,0
test5.txt,593,31,2431,0,0,0,0,3
test6.txt,3032,78,8048,38,0,0,0,14
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,15,15,156,0,0,0,0,0
test2.txt,15,15,178,3,0,0,0,0
test3.txt,31,0,187,0,0,0,0,0
test4.txt,125,0,375,15,0,0,0,0
test5.txt,609,31,2457,0,0,0,0,3
test6.txt,3069,66,8068,38,0,0,0,14
TEST#,READ from file,INITIALIZE QUEUE,FORM TREE,ENCODE4,INITIALIZE QUEUE, FORM TREE, DECODE, TOTAL (SEC)
test1.txt,19,15,156,0,0,0,125,0
